"","headline","url","date_time"
"54","У Лаврова розкритикували Україну за припинення ""дружби"" з РФ","https://ua-news.liga.net/politics/news/u-lavrova-rozkritikuvali-ukrainu-za-pripinennya-drujbi-z-rf","2019-03-12 11:11:23"
"55","САП оголосила про підозру Труханову","https://ua-news.liga.net/politics/news/sap-ogolosila-pro-pidozru-truhanovu","2019-03-11 13:44:40"
"56","Кириленко: Відмова від Євробачення - помилка. Є інші артисти","https://ua-news.liga.net/politics/articles/kirilenko-skasuvati-evrobachennya---pomilka-e-vidpovidni-artisti","2019-03-11 11:39:50"
"57","Американсько-українська ракета Alpha, яскравий тест двигуна","https://ua-news.liga.net/world/video/amerikansko-ukrainska-raketa-alpha-yaskraviy-test-dviguna","2019-03-11 11:12:05"
"58","Мураєв знявся з виборів на користь Вілкула: відео","https://ua-news.liga.net/politics/video/muraev-znyavsya-z-viboriv-na-korist-vilkula-video","2019-03-07 17:24:12"
"59","У Донбасі загинув 21-річний військовий Богдан Слобода","https://ua-news.liga.net/cryminal/news/u-donbasi-zaginuv-21-richniy-viyskoviy-bogdan-sloboda","2019-03-07 16:47:07"
"60","НАБУ проводить обшуки у фігурантів розслідування в Укрборонпромі","https://ua-news.liga.net/politics/news/nabu-provodit-obshuki-u-figurantiv-rozsliduvannya-v-ukrboronpromi","2019-03-07 15:28:31"
"61","В Україні запрацює електронна медична карта","https://ua-news.liga.net/society/news/v-ukraini-zapratsyue-elektronna-medichna-karta","2019-03-07 11:28:18"
"62","Нова атака в Запоріжжі: стріляли в громадського активіста","https://ua-news.liga.net/cryminal/news/nova-ataka-v-zaporijji-strilyali-v-gromadskogo-aktivista","2019-03-07 10:59:28"
"63","Холодницький відреагував на заклик посла США звільнити його","https://ua-news.liga.net/politics/news/holodnitskiy-vidreaguvav-na-zaklik-posla-ssha-zvilniti-yogo","2019-03-06 15:59:12"
"64","""Шукають неблагонадійних"": ситуація в окупованому Донбасі - фото","https://ua-news.liga.net/society/news/shukayut-neblagonadiynih-situatsiya-v-okupovanomu-donbasi---foto","2019-03-06 14:14:29"
"65","Євросоюз ввів новий пакет ""азовських"" санкцій проти Росії","https://ua-news.liga.net/politics/news/evrosoyuz-vviv-noviy-paket-azovskih-sanktsiy-proti-rosii","2019-03-06 13:15:19"
"66","Справу проти Труханова закрили","https://ua-news.liga.net/politics/news/spravu-proti-truhanova-zakrili","2019-03-06 12:54:32"
"67","Хто стоїть за маріонетками окупованого Донбасу: відео та фото","https://ua-news.liga.net/politics/video/hto-stoit-za-marionetkami-okupovanogo-donbasu-video-ta-foto","2019-03-06 09:48:56"
"68","З'явилася реакція Укроборонпрому на розслідування Наші гроші","https://ua-news.liga.net/politics/news/zyavilasya-reaktsiya-ukroboronpromu-na-rozsliduvannya-nashi-groshi","2019-03-05 11:21:01"
"69","Помер вокаліст The Prodigy Кіт Флінт: відео","https://ua-news.liga.net/culture/news/pomer-vokalist-the-prodigy-kit-flint-video","2019-03-04 14:59:54"
"70","Загострення в Донбасі: загинув військовий 1999 року народження","https://ua-news.liga.net/cryminal/news/zagostrennya-v-donbasi-zaginuv-viyskoviy-1999-roku-narodjennya","2019-03-04 14:30:22"
"71","G7 і ВБ про скасування антикорупційної статті: Це поразка","https://ua-news.liga.net/politics/news/g7-i-vb-pro-skasuvannya-antikoruptsiynoi-statti-tse-porazka","2019-03-04 14:06:12"
"72","Порошенко звільнив Гладковського","https://ua-news.liga.net/politics/news/poroshenko-zvilniv-gladkovskogo","2019-03-04 13:33:46"
"73","Порошенко обійшов Тимошенко в президентських перегонах - Рейтинг","https://ua-news.liga.net/politics/news/poroshenko-obiyshov-timoshenko-v-prezidentskih-peregonah---reyting","2019-03-04 12:17:15"
"74","Ще один кандидат готовий знятися на користь Гриценка","https://ua-news.liga.net/politics/video/sche-odin-kandidat-gotoviy-znyatisya-na-korist-gritsenka","2019-03-01 17:20:47"
"75","Вибори-2019: Садовий знявся на користь іншого кандидата - відео","https://ua-news.liga.net/politics/news/vibori-2019-sadoviy-znyavsya-na-korist-inshogo-kandidata---video","2019-03-01 14:12:47"
"76","Тепер можна встановити ознаки незаконного збагачення - НАЗК","https://ua-news.liga.net/politics/news/teper-mojna-vstanoviti-oznaki-nezakonnogo-zbagachennya---nazk","2019-03-01 14:03:27"
"77","Ватажок бойовиків смертельно хворий: кого може поставити Кремль","https://ua-news.liga.net/cryminal/news/vatajok-boyovikiv-smertelno-hvoriy-kogo-moje-postaviti-kreml","2019-03-01 12:27:09"
"78","Аналіз ІМІ. Ось п'ять сайтів, які копіпастять пропаганду РФ","https://ua-news.liga.net/politics/news/analiz-imi-os-pyat-saytiv-yaki-kopipastyat-propagandu-rf","2019-02-28 16:28:16"
"79","Нашi грошi: У Тимошенко легалізували невідомі мільйони - відео","https://ua-news.liga.net/politics/video/nashi-groshi-u-timoshenko-legalizuvali-nevidomi-milyoni---video","2019-02-28 14:53:20"
