year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ КОМПЛЕКСНОЇ АВТОМАТИЗАЦІЇ""",14072049,ДП,працює,,2.0,116.4,1.0,132.1,1.0,199.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,1.0,19.4,1.0,12.4,1.0,0.9,1.0,27.4,1.0,,0.0,10.0,задовільна
2019,3,"Державне підприємство ""Східний гірничо-збагачувальний комбінат""",14309787,ДП,працює,,2.0,119.7,1.0,1440.4,1.0,104.9,1.0,52.7,0.0,0.0,0.0,9.4,0.0,-4.4,5.0,0.8,0.0,0.4,0.0,0.2,0.0,56.0,1.0,,0.0,11.0,задовільна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-РОЗВІДУВАЛЬНИЙ ІНСТИТУТ ПРОМИСЛОВОЇ ТЕХНОЛОГІЇ""",14310483,ДП,працює,,2.0,104.7,1.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.5,0.0,0.9,0.0,0.3,0.0,0.2,0.0,79.0,0.0,,0.0,3.0,неефективна
2019,3,"Державне підприємство зовнішньоекономічної діяльності  ""Укрінтеренерго""",19480600,ДП,працює,,2.0,110.9,1.0,240.5,1.0,619.4,1.0,100.0,1.0,0.0,0.0,100.1,1.0,14978.3,5.0,1.1,1.0,0.1,0.0,0.1,0.0,36.5,1.0,,0.0,14.0,ефективна
2019,3,Центральний штаб Державної воєнізованої гірничорятувальної служби у вугільній промисловості,20335814,ДП,працює,100.0,0.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,-1.5,0.0,-0.3,0.0,78.6,0.0,,0.0,2.0,неефективна
2019,3,"Державне підприємство ""УКРЕНЕРГОІНВЕСТ""",21613310,ДП,працює,,2.0,121.0,1.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.4,0.0,-0.6,0.0,-1.2,0.0,66.7,1.0,,0.0,4.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР СИСТЕМ КОНТРОЛЮ ТА АВАРІЙНОГО РЕАГУВАННЯ""",24249112,ДП,працює,,2.0,45.6,0.0,47.8,0.0,29.3,0.0,100.0,1.0,0.0,0.0,100.0,1.0,11.1,1.0,2.8,1.0,2.9,1.0,0.7,1.0,38.5,1.0,,0.0,9.0,задовільна
2019,3,ДП ДИМИТРОВСЬКИЙ УЧБОВО-КУРСОВИЙ КОМБІНАТ,24319172,ДП,працює,,2.0,139.4,1.0,120.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,57.3,3.0,0.5,0.0,1.1,1.0,0.5,1.0,74.6,0.0,,0.0,10.0,задовільна
2019,3,"ДП ""НАЕК ""Енергоатом""",24584661,ДП,працює,,2.0,153.8,1.0,100.6,1.0,3863.9,1.0,100.0,1.0,0.0,0.0,83.9,0.0,91.4,1.0,1.4,1.0,3.5,1.0,0.6,1.0,68.0,1.0,,0.0,11.0,задовільна
2019,3,"Державне підприємство ""Чорнобильпроменергобуд""",25301719,ДП,працює,,2.0,98.4,0.0,126.1,1.0,105.6,1.0,457.1,1.0,0.0,0.0,35.7,0.0,475.0,5.0,7.2,1.0,0.7,0.0,0.1,0.0,79.6,0.0,,0.0,11.0,задовільна
