"","full_name","total_area","total_income"
"192","Козак Володимир Васильович",703,2134599
"193","Самардак Григорій Вікторович",349.22,2131894
"194","Шкіря Ігор Миколайович",409,2124964
"195","Пинзеник Віктор Михайлович",1078,2099935.36
"196","Зубик Володимир Володимирович",2963.7,2096883.91
"197","Новинський Вадим Владиславович",1796.4,2091172
"198","Терещенко Юрій Федорович",125,2064546.84
"199","Миранюк Віталій Миколайович",437.5,2063708.31
"200","Лелюк Олексій Володимирович",423.6,2060806
"201","Уманський Ігор Іванович",210,2046457
"202","Рибак Іван Петрович",183.3,2007478.6
"203","Кириленко Віталій Володимирович",136.9,1981558
"204","Базанов Олександр Юрійович",195.06,1970265
"205","Боярський Юрій Іванович",179,1967496
"206","Яценюк Арсеній Петрович",640,1964959
"207","Полочанінов Володимир Геннадійович",263,1960177
"208","Денисенко Анатолій Петрович",1393.2,1959888
"209","Парцхаладзе Лев Ревазович",501.4,1952850.29
"210","Присяжнюк Олександр Анатолійович",724,1945377
"211","Кравчук Геннадій Анатолійович",621,1943324
"212","Шкварилюк Володимир Васильович",342.9,1937092
"213","Павленко Олександра Сергіївна",189.98,1934870
"214","Ревега Олександр Васильович",328.1,1901641
"215","Дубовой Олександр Федорович",7395.6,1886225
"216","Зубик Володимир Володимирович",1513.15,1880562
"217","Колобов Юрій Володимирович",512.4,1876966
"218","Кучер Микола Іванович",112.4,1849329.87
"219","Нетецька Олена Анатоліївна",310.1,1847598.28
"220","Пинзеник Віктор Михайлович",1175.9,1826725.99
"221","Кавилін Олексій Анатолійович",110,1815684
"222","Дейч Борис Давидович",708.7,1783116
"223","Корсак Віталій Антонович",691.2,1770711
"224","Мельніченко Микола Миколайович",343.47,1764707
"225","Тарабакін Дмитро Валерійович",393.2,1748350
"226","Ревега Олександр Васильович",328.1,1742851
"227","Зубко Геннадій Григорович",170,1741323
"228","Євграфова Єлизавета Павлівна",273,1733738
"229","Клименко Юлія Леонідівна",541.3,1722466
"230","Зубик Володимир Володимирович",1730.35,1705388
"231","Лабунська Анжеліка Вікторівна",109094.9,1699529.08
"232","Скуратовський Сергій Іванович",718,1693575.58
"233","Балога Павло Іванович",638,1683562
"234","Куровський Іван Іванович",4730.6,1670660
"235","Калиняк Оксана Миколаївна",112.7,1657059
"236","Рашкован Владислав Леонідович",421,1654806.06
"237","Скрипник Олексій Олексійович",866.3,1648919.42
"238","Шенцев Дмитро Олексійович",1167.8,1647155.48
"239","Негой Федір Федорович",222,1642534.91
"240","Сікора Ольга Мирославівна",291,1635081
"241","Балюк Микола Іванович",202.4,1593185
"242","Петренко Павло Дмитрович",892.8,1586171
"243","Пишний Андрій Григорович",391.8,1572864
"244","Солод Юрій Васильович",264.1,1566664
"245","Остапук Віктор Іванович",355.6,1563219
"246","Андрієвський Дмитро Йосипович",572.78,1553578
"247","Березюк Олег Романович",322.1,1551909.4
"248","Заверуха Олег Богданович",283.4,1532682
"249","Котеляк Лідія Леонідівна",282.4,1506942
"250","Дубінін Олександр Іванович",700,1490569
"251","Циганенко Борис Володимирович",258.7,1489000
"252","Козак Тарас Романович",330.4,1478454.95
"253","Сарнацький Євген Володимирович",165.7,1468014
"254","Волков Олександр Анатолійович",692.3,1463292
"255","Балога Віктор Іванович",473,1436658
"256","Розенблат Борислав Соломонович",775.2,1436447.24
"257","Дубінін Олександр Іванович",700,1419317.05
"258","Малярчук Ірина Анатоліївна",234.35,1413400.26
"259","Шкіря Ігор Миколайович",409,1399016
"260","Чорновол Тетяна Миколаївна",201,1388474
"261","Кутовий Тарас Вікторович",103.2,1380091
"262","Кузьменко Сергій Анатолійович",663.3,1375846
"263","Канівець Олег Леонідович",251.3,1373192
"264","Волков Олександр Анатолійович",692.3,1343919
"265","Царюк Антон Олександрович",122.9,1338367
"266","Клименко Олександр Вікторович",131.2,1314575
"267","Кузьмін Ренат Равелійович",166.7,1312070
"268","Радуцький Михайло Борисович",391,1310669.96
"269","Різаненко Павло Олександрович",381.7,1289292
"270","Грабовецька Наталія Володимирівна",152.6,1287500
"271","Кубів Степан Іванович",378,1264328
"272","Рибченко Анатолій Олексійович",233,1256513
"273","Вадатурський Андрій Олексійович",235.9,1254138.05
"274","Резнік Руслан Борисович",102.2,1253274
"275","Парамонов Євген Вікторович",134.2,1252989
"276","Рабінович Вадим Зіновійович",824.47,1252714
"277","Кучерук Микола Герасимович",389.4,1252030.83
"278","Мураєв Євгеній Володимирович",170.5,1232326
"279","Залєтов Олександр Миколайович",464.2,1224273
"280","Крук Юрій Борисович",516.6,1209713
"281","Добрянський Ярослав Вікторович",629.53,1202285.35
"282","Сторожук Сергій Миколайович",156,1193094
"283","Литвин Володимир Михайлович",259.8,1191036
"284","Івченко Ігор Васильович",210,1190254
"285","Нефьодов Максим Євгенович",131.4,1186096
"286","Балицький Євген Віталійович",259.3,1186020
"287","Козак Тарас Романович",330.4,1173676
"288","Турчинов Олександр Валентинович",473.5,1161970
"289","Пригодський Антон Вікентійович",1074,1161297
"290","Мушак Олексій Петрович",440,1152462.45
"291","Кафідова Олена Василівна",160,1143798
"292","Ляшко Олег Валерійович",462.7,1143525
"293","Ковзель Петро Олегович",224.1,1137569
"294","Шандра Володимир Миколайович",191.8,1136869
"295","Зубко Геннадій Григорович",170,1134009
"296","Кузьменко Анатолій Іванович",319.5,1127484
"297","Міщенко Сергій Григорович",505.3,1123429
"298","Матвієнков Сергій Анатолійович",351.5,1118084
"299","Зубко Геннадій Григорович",395.46,1113316.75
"300","Кришин Олег Юрійович",1482.1,1076982
"301","Лаврик Олег Васильович",162.3,1074284.17
"302","Підлісецький Лев Теофілович",475.4,1061901.68
"303","Зубик Володимир Володимирович",1513.15,1058456
"304","Шкляр Сергій Володимирович",452.8,1058061
"305","Алєксєєв Віктор Олексійович",118.7,1043518
"306","Ковальчук Андрій Трохимович",262.2,1033786.46
"307","Ляшко Олег Валерійович",483.2,1014285.6
"308","Пригодський Антон Вікентійович",1074,1000343
